rn,EURUSDCR Curncy,.EURUSDCC Index,.EURCSG Index,.EURCSF Index,.EURCSI Index,.USDCS Index,.ECBFEDTA Index,CESIEUR Index,CESIUSD Index,.EUREQFLO Index,WIRAWRLD Index,GTDEM10YR Corp,GTFRF10YR Corp,GTITL10YR Corp,USGG10YR Index,EUCRBRDT Index,USCRWTIC Index,MPMIEZCA Index,MPMIUSCA Index,.EURPERS Index,GTDEMII10YR Corp,GTFRFII10YR Corp,GTITLII10YR Corp,GTII10 Govt,CTOTEUR Index,CTOTUSD Index
2007-02-28,107.196,-1.4725,0.081,0.101,0.252,-0.0766,632.6817,26.6,25.5,167998.43,5037747.83,3.957,4.009,4.195,4.5657,60.66,61.79,53.9,55.7,13.46,1.791,1.926,2.149,2.189,-9.55,-14.35
2007-03-01,106.7524,-1.46,0.085,0.101,0.253,-0.059,632.6817,26.9,31.2,167998.43,5037747.83,3.947,3.997,4.184,4.5499,61.07,62,53.9,55.7,13.46,1.791,1.906,2.149,2.177,-9.55,-14.48
2007-03-02,106.8924,-1.46,0.105,0.117,0.266,-0.0282,632.6817,27.3,28.2,168548.95,5037747.83,3.938,3.986,4.173,4.497,61.65,61.64,53.9,55.7,13.46,1.791,1.898,2.149,2.137,-9.49,-14.45
2007-03-03,106.8924,-1.46,0.105,0.117,0.266,-0.0282,632.6817,27.3,28.2,168548.95,5037747.83,3.938,3.986,4.173,4.497,61.65,61.64,53.9,55.7,13.46,1.791,1.898,2.149,2.137,-9.49,-14.45
2007-03-04,106.8924,-1.46,0.105,0.117,0.266,-0.0282,632.6817,27.3,28.2,168548.95,5037747.83,3.938,3.986,4.173,4.497,61.65,61.64,53.9,55.7,13.46,1.791,1.898,2.149,2.137,-9.49,-14.45
2007-03-05,106.06,-1.45,0.073,0.096,0.243,-0.0215,620.9698,31.1,17,168860.73,5037747.83,3.915,3.965,4.145,4.495,60.11,60.07,53.9,55.7,13.3,1.791,1.886,2.149,2.154,-9.29,-14.06
2007-03-06,106.1918,-1.465,0.051,0.077,0.219,-0.0461,622.9218,31.4,15.5,169160.73,5037747.83,3.918,3.968,4.144,4.5282,60.55,60.69,53.9,55.7,13.12,1.791,1.894,2.149,2.18,-9.42,-14.26
2007-03-07,106.5101,-1.46,0.038,0.075,0.206,-0.037,640.0207,23.7,13.6,169160.73,5037747.83,3.92,3.97,4.145,4.4871,61.65,61.82,53.9,55.7,13.14,1.791,1.898,2.149,2.159,-9.57,-14.53
2007-03-08,106.3746,-1.45,0.023,0.061,0.199,-0.0446,638.1835,33.3,11.8,169160.73,5037747.83,3.929,3.98,4.157,4.5125,61.24,61.64,53.9,55.7,13.3,1.791,1.909,2.149,2.18,-9.59,-14.58
2007-03-09,106.2228,-1.455,0.021,0.057,0.199,-0.078,625.4398,31.9,14.4,169461.03,5037747.83,3.959,4.007,4.184,4.5871,59.9,60.05,53.9,55.7,13.04,1.791,1.941,2.149,2.238,-9.42,-14.3
2007-03-10,106.2228,-1.455,0.021,0.057,0.199,-0.078,625.4398,31.9,14.4,169461.03,5037747.83,3.959,4.007,4.184,4.5871,59.9,60.05,53.9,55.7,13.04,1.791,1.941,2.149,2.238,-9.42,-14.3
2007-03-11,106.2228,-1.455,0.021,0.057,0.199,-0.078,625.4398,31.9,14.4,169461.03,5037747.83,3.959,4.007,4.184,4.5871,59.9,60.05,53.9,55.7,13.04,1.791,1.941,2.149,2.238,-9.42,-14.3
2007-03-12,106.8003,-1.445,0.007,0.044,0.191,-0.0797,633.3046,26.4,4.3,169461.14,5037747.83,3.932,3.979,4.161,4.5516,60.12,58.91,53.9,55.7,13.26,1.791,1.926,2.149,2.222,-9.36,-14.19
2007-03-13,106.9889,-1.425,-0.016,0.03,0.184,-0.0144,636.0402,30.4,-3.9,169461.14,5037747.83,3.905,3.952,4.14,4.4907,60.86,57.93,53.9,55.7,13.82,1.791,1.899,2.149,2.141,-9.35,-14.2
2007-03-14,107.1127,-1.44,0.016,0.029,0.194,-0.0213,626.674,29.1,-4.2,169461.14,5037747.83,3.882,3.929,4.124,4.5338,61.06,58.16,53.9,55.7,14.18,1.791,1.893,2.149,2.169,-9.4,-14.3
2007-03-15,107.1474,-1.45,0.003,0.018,0.189,-0.0443,627.2439,27.6,-2,169461.14,5037747.83,3.907,3.956,4.155,4.5358,60.55,57.55,53.9,55.7,14.54,1.791,1.912,2.149,2.169,-9.37,-14.18
2007-03-16,107.7975,-1.44,-0.004,0.009,0.183,-0.0441,624.2969,25.7,4.8,169461.14,5047555.75,3.905,3.955,4.152,4.5435,60.14,57.11,53.9,55.7,14.58,1.791,1.917,2.149,2.155,-9.34,-14.11
2007-03-17,107.7975,-1.44,-0.004,0.009,0.183,-0.0441,624.2969,25.7,4.8,169461.14,5047555.75,3.905,3.955,4.152,4.5435,60.14,57.11,53.9,55.7,14.58,1.791,1.917,2.149,2.155,-9.34,-14.11
2007-03-18,107.7975,-1.44,-0.004,0.009,0.183,-0.0441,624.2969,25.7,4.8,169461.14,5047555.75,3.905,3.955,4.152,4.5435,60.14,57.11,53.9,55.7,14.58,1.791,1.917,2.149,2.155,-9.34,-14.11
2007-03-19,107.6295,-1.45,-0.015,0.001,0.177,-0.058,621.1329,18.5,4.3,169661.14,5047555.75,3.926,3.976,4.176,4.5632,60.7,56.59,53.9,55.7,14.28,1.791,1.938,2.149,2.171,-9.33,-14.15
2007-03-20,107.8261,-1.42,-0.019,-0.004,0.172,-0.0547,623.9579,18.3,6.4,169661.14,5047555.75,3.909,3.959,4.156,4.5494,60.09,56.73,53.9,55.7,14.52,1.791,1.929,2.149,2.157,-9.29,-14.04
2007-03-21,107.6988,-1.43,-0.007,0.011,0.185,0.0082,635.3689,18.1,5.3,169661.32,5047555.75,3.927,3.982,4.176,4.5356,60.21,58.31,53.9,55.7,14.22,1.791,1.936,2.149,2.123,-9.36,-14.13
