rn,ARS,AUD,BRL,CAD,CHF,CLP,CNH,CNY,COP,CZK,DKK,DOP,EGP,EUR,GBP,HKD,HUF,IDR,ILS,INR,JPY,KRW,KZT,MXN,MYR,NGN,NOK,NZD,PEN,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,TWD,UAH,USD,UYU,VEF,ZAR
2006-09-01,325.5614,143.0764,154.3293,140.3457,94.8826,104.9414,0,103.0278,109.7341,139.5624,108.22,0,0,104.9206,126.3728,97.7263,164.4189,189.4297,0,129.2205,74.6024,139.8541,0,175.6543,0,0,133.0151,150.6351,137.3989,130.9134,187.9938,0,125.0761,108.9009,91.7489,102.5716,401.2822,94.2712,0,0,0,0,134.9242
2006-09-02,325.5614,143.0764,154.3293,140.3457,94.8826,104.9414,0,103.0278,109.7341,139.5624,108.22,0,0,104.9206,126.3728,97.7263,164.4189,189.4297,0,129.2205,74.6024,139.8541,0,175.6543,0,0,133.0151,150.6351,137.3989,130.9134,187.9938,0,125.0761,108.9009,91.7489,102.5716,401.2822,94.2712,0,0,0,0,134.9242
2006-09-03,325.5614,143.0764,154.3293,140.3457,94.8826,104.9414,0,103.0278,109.7341,139.5624,108.22,0,0,104.9206,126.3728,97.7263,164.4189,189.4297,0,129.2205,74.6024,139.8541,0,175.6543,0,0,133.0151,150.6351,137.3989,130.9134,187.9938,0,125.0761,108.9009,91.7489,102.5716,401.2822,94.2712,0,0,0,0,134.9242
2006-09-04,325.4711,143.9393,155.5358,140.2004,95.0159,105.2222,0,103.2061,110.439,140.0812,108.4786,0,0,105.1736,126.4108,97.7333,165.7029,189.645,0,129.3963,75.2501,139.9,0,176.0829,0,0,133.107,150.3479,137.3005,131.5919,188.3687,0,125.2106,109.3537,91.9469,102.9298,407.4379,94.6406,0,0,0,0,135.8416
2006-09-05,325.6125,143.9622,154.4438,139.6646,94.5067,104.7937,0,103.0594,110.7089,139.5297,107.9786,0,0,104.6911,125.5464,97.7264,165.4476,189.5676,0,129.7405,75.3201,140.4142,0,176.2233,0,0,132.5429,148.7249,137.2805,131.8842,187.7994,0,125.3319,108.8863,92.0165,102.8756,406.5275,94.6155,0,0,0,0,135.3349
2006-09-06,324.7601,142.8653,153.6671,140.303,94.1502,104.595,0,103.1051,110.636,138.7722,107.6525,0,0,104.3722,124.7289,97.7237,164.4614,189.2156,0,130.2848,74.7001,140.3508,0,174.1381,0,0,131.5385,149.0596,137.2693,132.1516,186.4947,0,125.3096,108.3145,91.8047,102.9038,400.3895,94.4321,0,0,0,0,133.0509
2006-09-07,325.008,141.7493,153.5378,139.7915,93.9699,104.8097,0,103.1357,110.4149,138.2028,107.4198,0,0,104.1595,124.4614,97.7271,165.1157,189.529,0,130.067,74.9616,140.4426,0,173.6912,0,0,130.3486,149.5322,137.2212,131.5538,185.9306,0,125.0208,107.8321,91.8386,102.8763,400.4615,94.451,0,0,0,0,132.4424
2006-09-08,325.2246,140.7079,153.1811,138.5747,93.4445,104.6979,0,103.0231,110.3545,137.296,106.7876,0,0,103.5384,123.7432,97.7063,164.1861,189.0104,0,130.1599,74.6459,140.4452,0,173.5692,0,0,129.3785,146.7798,137.1814,131.572,184.6921,0,124.684,107.5644,91.645,102.6839,399.1819,94.1855,0,0,0,0,132.0005
2006-09-09,325.2246,140.7079,153.1811,138.5747,93.4445,104.6979,0,103.0231,110.3545,137.296,106.7876,0,0,103.5384,123.7432,97.7063,164.1861,189.0104,0,130.1599,74.6459,140.4452,0,173.5692,0,0,129.3785,146.7798,137.1814,131.572,184.6921,0,124.684,107.5644,91.645,102.6839,399.1819,94.1855,0,0,0,0,132.0005
2006-09-10,325.2246,140.7079,153.1811,138.5747,93.4445,104.6979,0,103.0231,110.3545,137.296,106.7876,0,0,103.5384,123.7432,97.7063,164.1861,189.0104,0,130.1599,74.6459,140.4452,0,173.5692,0,0,129.3785,146.7798,137.1814,131.572,184.6921,0,124.684,107.5644,91.645,102.6839,399.1819,94.1855,0,0,0,0,132.0005
