,AUDCAD,AUDCHF,AUDJPY,AUDNOK,AUDNZD,AUDSEK,AUDUSD,CADCHF,CADJPY,CADNOK,CADSEK,CHFJPY,CHFNOK,CHFSEK,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNOK,EURNZD,EURSEK,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNOK,GBPNZD,GBPSEK,GBPUSD,NOKJPY,NOKSEK,NZDCAD,NZDCHF,NZDJPY,NZDNOK,NZDSEK,NZDUSD,SEKJPY,USDCAD,USDCHF,USDJPY,USDNOK,USDSEK,
1991-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1992-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1992-01-02,-0.009394585,0.000421092,-0.009692197,-0.002235984,0.00145748,-0.003976989,-0.005000837,0.009805896,-0.000285145,0.007131105,0.005366782,-0.010118903,-0.002657522,-0.004398312,9.86649E-06,-0.009399783,0.000431602,-0.007289207,-0.009697785,-0.002229847,0.001469703,-0.003973798,-0.004998811,0.007324503,-0.002091787,0.007743196,-0.002380358,0.00506483,0.008789112,0.003300618,0.002330513,-0.007465079,-0.001751185,-0.010846677,-0.001034522,-0.011146102,-0.003687438,-0.005423872,-0.006458478,-0.00571631,-0.004393687,0.005392608,-0.004684059,0.002732828,0.000983938,
1992-01-03,-0.001143682,0.010269865,0.006770707,0.013786323,-0.001427561,0.014079971,0.001987439,0.011409647,0.007913672,0.014923036,0.01521397,-0.003521148,0.003537393,0.003855144,-0.014322582,-0.015472066,-0.004029352,0.000415296,-0.00756266,-0.000480207,-0.015759023,-0.000152702,-0.012368197,-0.01475099,-0.015901538,-0.004449081,-0.007986089,-0.000896271,-0.016188806,-0.000567558,-0.012795999,-0.007085659,0.000326573,0.000283495,0.01169089,0.008196089,0.015203132,0.015493368,0.003416386,-0.007431463,-0.003118528,0.008267705,0.004773264,0.01177922,0.012076903,
1992-01-06,0.005102064,-0.009650065,0.002086675,-0.007012883,-0.00846646,-0.009560399,0.009117489,-0.014745608,-0.00302088,-0.012099864,-0.014636224,0.011757651,0.002620769,5.26891E-05,0.008857473,0.013969055,-0.000809518,0.002359872,0.010960201,0.001815417,0.000382386,-0.000754184,0.018008188,0.006497355,0.0116121,-0.00317596,0.008598321,-0.000545037,-0.001984856,-0.003111861,0.015649606,0.009144514,-0.002567708,0.013561682,-0.001189287,0.010557642,0.001431814,-0.001131857,0.017592285,0.011751326,-0.003987607,-0.018700734,-0.007007503,-0.016052815,-0.018575311,
1992-01-07,-0.013337856,-0.009481721,-0.009018135,-0.012556864,-0.01818911,-0.011159644,-0.011255894,0.003849289,0.004337718,0.000750619,0.002123666,0.000481509,-0.00309322,-0.001712622,0.010407329,-0.002947515,0.000909155,5.06991E-05,0.001392986,-0.002189148,-0.007803092,-0.000808688,-0.000841399,0.010363784,-0.003000396,0.000859005,0.001343149,-0.002241432,-0.007859384,-0.000859923,-0.000892846,0.003592824,0.001377455,0.004845102,0.008691268,0.009188492,0.005584729,0.006948888,0.006962966,0.002211944,-0.002099992,0.001742517,0.002225835,-0.001345967,2.81259E-05,
1992-01-08,0.004318938,0.00300379,0.007208502,0.001970304,0.006376997,0.002476818,0.002744214,-0.001313025,0.002883705,-0.002338951,-0.001825109,0.004200854,-0.001028663,-0.000516869,-0.000284793,0.004039889,0.002723092,0.003609343,0.006932965,0.001688643,0.006100626,0.002196254,0.002462587,-0.003903992,0.000423084,-0.000892998,0.003313573,-0.001921987,0.002484664,-0.001407871,-0.001162232,0.00524212,0.000510814,-0.002056514,-0.003368432,0.000824196,-0.004390703,-0.003873436,-0.003643067,0.004737009,0.00157685,0.000265679,0.004456966,-0.000760871,-0.000250627,
1992-01-09,-0.009202732,0.005577509,-0.007014465,0.005523328,-0.005485034,0.004956227,-0.014905038,0.01477658,0.002199946,0.014707441,0.014126027,-0.012603521,-4.50426E-05,-0.000603484,-0.003779457,-0.012993735,0.001805652,0.000332043,-0.010807615,0.001757563,-0.009272022,0.001195714,-0.018710132,-0.004115225,-0.013336833,0.001474343,-0.011149286,0.001426635,-0.009612203,0.000864765,-0.019058262,-0.012578937,-0.000559459,-0.003717687,0.011057836,-0.001522822,0.010994724,0.010419159,-0.009408469,-0.012035763,0.005663794,0.020411769,0.007866808,0.020333701,0.019744608,
1992-01-10,-0.008519721,0.003736917,-0.004765126,0.002423296,-0.007952048,0.002883094,-0.01305926,0.012253507,0.003764749,0.010926742,0.011373848,-0.008509388,-0.001308054,-0.00084258,-0.008910169,-0.01744048,-0.005167092,-0.002575452,-0.013692415,-0.006468331,-0.016873359,-0.00599469,-0.022001297,-0.006334497,-0.014871057,-0.002589149,-0.011116939,-0.003895453,-0.014303147,-0.003425372,-0.019430634,-0.007208479,0.000464175,-0.00056864,0.011683365,0.003194902,0.010357663,0.010805556,-0.005093107,-0.007686141,0.004508223,0.01673916,0.008271803,0.015407793,0.015847516,
1992-01-13,0.001519155,0.005395241,0.007956716,0.009434141,0.003175697,0.009650063,0.008038013,0.003876124,0.006435605,0.007916903,0.008134662,0.00255517,0.0040469,0.00426946,-0.0031615,-0.001641016,0.002239485,0.005163862,0.004799698,0.006286622,1.68103E-05,0.006506555,0.004879648,-0.008339109,-0.006817934,-0.002933991,-0.000378392,0.001122882,-0.005159627,0.00134924,-0.000300767,-0.001504068,0.000227714,-0.001655882,0.002220076,0.004777241,0.006262702,0.006482456,0.004857053,-0.001734631,-0.006496354,-0.002625018,-7.74064E-05,0.001418903,0.001644336,
