ticker,ccy,date,PX_LAST
BISBNZR Index,NZD,1994-01-31,87.38
BISBNZR Index,NZD,1994-02-28,87.47
BISBNZR Index,NZD,1994-03-31,86.38
BISBNZR Index,NZD,1994-04-30,85.52
BISBNZR Index,NZD,1994-05-31,87.06
BISBNZR Index,NZD,1994-06-30,87.69
BISBNZR Index,NZD,1994-07-31,88.08
BISBNZR Index,NZD,1994-08-31,88.12
BISBNZR Index,NZD,1994-09-30,87.81
BISBNZR Index,NZD,1994-10-31,88.4
BISBNZR Index,NZD,1994-11-30,89.98
BISBNZR Index,NZD,1994-12-31,92.82
BISBNZR Index,NZD,1995-01-31,93.06
BISBNZR Index,NZD,1995-02-28,92.39
BISBNZR Index,NZD,1995-03-31,92.43
BISBNZR Index,NZD,1995-04-30,93.25
BISBNZR Index,NZD,1995-05-31,93.9
BISBNZR Index,NZD,1995-06-30,94.14
BISBNZR Index,NZD,1995-07-31,94.96
BISBNZR Index,NZD,1995-08-31,94.07
BISBNZR Index,NZD,1995-09-30,94.53
BISBNZR Index,NZD,1995-10-31,94.52
BISBNZR Index,NZD,1995-11-30,94.49
BISBNZR Index,NZD,1995-12-31,94.57
BISBNZR Index,NZD,1996-01-31,96.9
BISBNZR Index,NZD,1996-02-29,98.34
BISBNZR Index,NZD,1996-03-31,98.73
BISBNZR Index,NZD,1996-04-30,98.63
BISBNZR Index,NZD,1996-05-31,98.94
BISBNZR Index,NZD,1996-06-30,98.2
BISBNZR Index,NZD,1996-07-31,100.22
BISBNZR Index,NZD,1996-08-31,99.95
BISBNZR Index,NZD,1996-09-30,101.23
BISBNZR Index,NZD,1996-10-31,102.57
BISBNZR Index,NZD,1996-11-30,103.48
BISBNZR Index,NZD,1996-12-31,103.21
BISBNZR Index,NZD,1997-01-31,104.03
BISBNZR Index,NZD,1997-02-28,104.03
BISBNZR Index,NZD,1997-03-31,104.69
BISBNZR Index,NZD,1997-04-30,104.2
BISBNZR Index,NZD,1997-05-31,103.31
BISBNZR Index,NZD,1997-06-30,102.99
BISBNZR Index,NZD,1997-07-31,100.57
BISBNZR Index,NZD,1997-08-31,99.08
BISBNZR Index,NZD,1997-09-30,98.91
BISBNZR Index,NZD,1997-10-31,99.25
BISBNZR Index,NZD,1997-11-30,99.24
BISBNZR Index,NZD,1997-12-31,97.94
BISBNZR Index,NZD,1998-01-31,97.87
BISBNZR Index,NZD,1998-02-28,96.36
BISBNZR Index,NZD,1998-03-31,94.65
BISBNZR Index,NZD,1998-04-30,91.88
BISBNZR Index,NZD,1998-05-31,90.59
BISBNZR Index,NZD,1998-06-30,88.6
BISBNZR Index,NZD,1998-07-31,89.68
BISBNZR Index,NZD,1998-08-31,88.26
BISBNZR Index,NZD,1998-09-30,86.39
BISBNZR Index,NZD,1998-10-31,85.43
BISBNZR Index,NZD,1998-11-30,86.5
BISBNZR Index,NZD,1998-12-31,84.56
BISBNZR Index,NZD,1999-01-31,86.26
BISBNZR Index,NZD,1999-02-28,87.91
BISBNZR Index,NZD,1999-03-31,87.28
BISBNZR Index,NZD,1999-04-30,88.5
BISBNZR Index,NZD,1999-05-31,89.63
BISBNZR Index,NZD,1999-06-30,86.93
BISBNZR Index,NZD,1999-07-31,85.94
BISBNZR Index,NZD,1999-08-31,85.15
BISBNZR Index,NZD,1999-09-30,83.71
BISBNZR Index,NZD,1999-10-31,81.76
BISBNZR Index,NZD,1999-11-30,82.08
BISBNZR Index,NZD,1999-12-31,81.42
BISBNZR Index,NZD,2000-01-31,81.96
BISBNZR Index,NZD,2000-02-29,79.91
BISBNZR Index,NZD,2000-03-31,80.48
BISBNZR Index,NZD,2000-04-30,82.06
BISBNZR Index,NZD,2000-05-31,79.35
BISBNZR Index,NZD,2000-06-30,78.36
BISBNZR Index,NZD,2000-07-31,77.38
BISBNZR Index,NZD,2000-08-31,75.58
BISBNZR Index,NZD,2000-09-30,72.21
BISBNZR Index,NZD,2000-10-31,70.88
BISBNZR Index,NZD,2000-11-30,71.23
BISBNZR Index,NZD,2000-12-31,75.38
