,Strategy,
1992-12-31 00:00:00,0.000816287,
1993-01-01 00:00:00,-0.000309748,
1993-01-04 00:00:00,0.001868943,
1993-01-05 00:00:00,-0.007601554,
1993-01-06 00:00:00,0.002080673,
1993-01-07 00:00:00,-0.000551223,
1993-01-08 00:00:00,-0.000481128,
1993-01-11 00:00:00,0.001014013,
1993-01-12 00:00:00,0.00013307,
1993-01-13 00:00:00,0.000120156,
1993-01-14 00:00:00,0.001558574,
1993-01-15 00:00:00,0.002757495,
1993-01-18 00:00:00,0.000552622,
1993-01-19 00:00:00,-0.001071443,
1993-01-20 00:00:00,-0.001994408,
1993-01-21 00:00:00,-0.000397269,
1993-01-22 00:00:00,0.001711136,
1993-01-25 00:00:00,-0.003781436,
1993-01-26 00:00:00,0.003199,
1993-01-27 00:00:00,0.001212184,
1993-01-28 00:00:00,0.003043764,
1993-01-29 00:00:00,0.004257284,
1993-02-01 00:00:00,0.002405642,
1993-02-02 00:00:00,0.001194976,
1993-02-03 00:00:00,-0.00335466,
1993-02-04 00:00:00,0.001881834,
1993-02-05 00:00:00,-0.000369556,
1993-02-08 00:00:00,-0.004011668,
1993-02-09 00:00:00,-0.001362906,
1993-02-10 00:00:00,0.000292532,
1993-02-11 00:00:00,0.000887111,
1993-02-12 00:00:00,-0.000332022,
1993-02-15 00:00:00,-0.000799424,
1993-02-16 00:00:00,0.008937055,
1993-02-17 00:00:00,0.000361125,
1993-02-18 00:00:00,-0.003496058,
1993-02-19 00:00:00,-0.002283009,
1993-02-22 00:00:00,-0.003733947,
1993-02-23 00:00:00,0.001236172,
1993-02-24 00:00:00,-0.002737667,
1993-02-25 00:00:00,0.004534057,
1993-02-26 00:00:00,0.003069496,
1993-03-01 00:00:00,-0.002632576,
1993-03-02 00:00:00,0.001445416,
1993-03-03 00:00:00,0.000544156,
1993-03-04 00:00:00,0.001418514,
1993-03-05 00:00:00,-0.003359379,
1993-03-08 00:00:00,0.003983021,
1993-03-09 00:00:00,0.00652984,
1993-03-10 00:00:00,-0.003538731,
1993-03-11 00:00:00,-0.00020297,
1993-03-12 00:00:00,-8.39225E-05,
1993-03-15 00:00:00,-0.001945713,
1993-03-16 00:00:00,0.006115834,
1993-03-17 00:00:00,0.001431789,
1993-03-18 00:00:00,-0.003877343,
1993-03-19 00:00:00,0.001099761,
1993-03-22 00:00:00,0.002188777,
1993-03-23 00:00:00,-0.002034167,
1993-03-24 00:00:00,-0.001932274,
