ticker,ccy,date,PX_LAST
BISBUSR Index,USD,2004-12-31,107.94
BISBUSR Index,USD,2005-01-31,108.74
BISBUSR Index,USD,2005-02-28,108.95
BISBUSR Index,USD,2005-03-31,108.89
BISBUSR Index,USD,2005-04-30,110.38
BISBUSR Index,USD,2005-05-31,110.65
BISBUSR Index,USD,2005-06-30,111.96
BISBUSR Index,USD,2005-07-31,112.68
BISBUSR Index,USD,2005-08-31,111.52
BISBUSR Index,USD,2005-09-30,112.19
BISBUSR Index,USD,2005-10-31,113.49
BISBUSR Index,USD,2005-11-30,113.42
BISBUSR Index,USD,2005-12-31,112.02
BISBUSR Index,USD,2006-01-31,110.99
BISBUSR Index,USD,2006-02-28,111.16
BISBUSR Index,USD,2006-03-31,111.84
BISBUSR Index,USD,2006-04-30,111.52
BISBUSR Index,USD,2006-05-31,109.55
BISBUSR Index,USD,2006-06-30,111.26
BISBUSR Index,USD,2006-07-31,111.21
BISBUSR Index,USD,2006-08-31,110.39
BISBUSR Index,USD,2006-09-30,109.93
BISBUSR Index,USD,2006-10-31,109.69
BISBUSR Index,USD,2006-11-30,108.35
BISBUSR Index,USD,2006-12-31,107.08
BISBUSR Index,USD,2007-01-31,108.49
BISBUSR Index,USD,2007-02-28,108.23
BISBUSR Index,USD,2007-03-31,108.34
BISBUSR Index,USD,2007-04-30,107.23
BISBUSR Index,USD,2007-05-31,106.77
BISBUSR Index,USD,2007-06-30,106.64
BISBUSR Index,USD,2007-07-31,105
BISBUSR Index,USD,2007-08-31,104.97
BISBUSR Index,USD,2007-09-30,103.46
BISBUSR Index,USD,2007-10-31,101.21
BISBUSR Index,USD,2007-11-30,99.69
BISBUSR Index,USD,2007-12-31,100.13
BISBUSR Index,USD,2008-01-31,99.51
BISBUSR Index,USD,2008-02-29,98.15
BISBUSR Index,USD,2008-03-31,96.65
BISBUSR Index,USD,2008-04-30,96.37
BISBUSR Index,USD,2008-05-31,97.09
BISBUSR Index,USD,2008-06-30,97.71
BISBUSR Index,USD,2008-07-31,97.12
BISBUSR Index,USD,2008-08-31,99.06
BISBUSR Index,USD,2008-09-30,101.14
BISBUSR Index,USD,2008-10-31,106.82
BISBUSR Index,USD,2008-11-30,107.9
BISBUSR Index,USD,2008-12-31,106.09
BISBUSR Index,USD,2009-01-31,107.17
BISBUSR Index,USD,2009-02-28,110.06
BISBUSR Index,USD,2009-03-31,110.69
BISBUSR Index,USD,2009-04-30,108.08
BISBUSR Index,USD,2009-05-31,105.04
BISBUSR Index,USD,2009-06-30,104.63
BISBUSR Index,USD,2009-07-31,104.17
BISBUSR Index,USD,2009-08-31,102.72
BISBUSR Index,USD,2009-09-30,101.81
BISBUSR Index,USD,2009-10-31,100.35
BISBUSR Index,USD,2009-11-30,99.66
BISBUSR Index,USD,2009-12-31,99.58
BISBUSR Index,USD,2010-01-31,100.09
BISBUSR Index,USD,2010-02-28,101.08
BISBUSR Index,USD,2010-03-31,100.5
BISBUSR Index,USD,2010-04-30,99.92
BISBUSR Index,USD,2010-05-31,102.91
BISBUSR Index,USD,2010-06-30,103.63
BISBUSR Index,USD,2010-07-31,101.84
BISBUSR Index,USD,2010-08-31,100.79
BISBUSR Index,USD,2010-09-30,99.59
BISBUSR Index,USD,2010-10-31,96.4
BISBUSR Index,USD,2010-11-30,96.34
BISBUSR Index,USD,2010-12-31,96.92
BISBUSR Index,USD,2011-01-31,95.96
BISBUSR Index,USD,2011-02-28,95.17
BISBUSR Index,USD,2011-03-31,94.74
BISBUSR Index,USD,2011-04-30,93.48
BISBUSR Index,USD,2011-05-31,93.67
BISBUSR Index,USD,2011-06-30,93.64
BISBUSR Index,USD,2011-07-31,93
BISBUSR Index,USD,2011-08-31,93.51
BISBUSR Index,USD,2011-09-30,96.04
BISBUSR Index,USD,2011-10-31,96.62
BISBUSR Index,USD,2011-11-30,96.99
BISBUSR Index,USD,2011-12-31,97.36
BISBUSR Index,USD,2012-01-31,97.02
BISBUSR Index,USD,2012-02-29,95.45
BISBUSR Index,USD,2012-03-31,96.29
BISBUSR Index,USD,2012-04-30,96.69
BISBUSR Index,USD,2012-05-31,98.42
BISBUSR Index,USD,2012-06-30,99.81
BISBUSR Index,USD,2012-07-31,99.13
BISBUSR Index,USD,2012-08-31,98.45
BISBUSR Index,USD,2012-09-30,96.95
BISBUSR Index,USD,2012-10-31,96.38
BISBUSR Index,USD,2012-11-30,96.56
BISBUSR Index,USD,2012-12-31,95.4
BISBUSR Index,USD,2013-01-31,95.61
BISBUSR Index,USD,2013-02-28,96.51
BISBUSR Index,USD,2013-03-31,97.58
BISBUSR Index,USD,2013-04-30,97
BISBUSR Index,USD,2013-05-31,97.68
BISBUSR Index,USD,2013-06-30,98.49
BISBUSR Index,USD,2013-07-31,99.02
BISBUSR Index,USD,2013-08-31,98.71
BISBUSR Index,USD,2013-09-30,98.22
BISBUSR Index,USD,2013-10-31,96.83
BISBUSR Index,USD,2013-11-30,97.3
BISBUSR Index,USD,2013-12-31,97.24
BISBUSR Index,USD,2014-01-31,98.34
BISBUSR Index,USD,2014-02-28,98.43
BISBUSR Index,USD,2014-03-31,98.74
BISBUSR Index,USD,2014-04-30,98.47
