ticker,ccy,date,PX_LAST
BISNNZR Index,NZD,1991-12-31,82.21
BISNNZR Index,NZD,1992-01-31,80.97
BISNNZR Index,NZD,1992-02-29,81.64
BISNNZR Index,NZD,1992-03-31,83.57
BISNNZR Index,NZD,1992-04-30,82.06
BISNNZR Index,NZD,1992-05-31,80.37
BISNNZR Index,NZD,1992-06-30,80.33
BISNNZR Index,NZD,1992-07-31,80.36
BISNNZR Index,NZD,1992-08-31,79.83
BISNNZR Index,NZD,1992-09-30,79.64
BISNNZR Index,NZD,1992-10-31,80.64
BISNNZR Index,NZD,1992-11-30,80.33
BISNNZR Index,NZD,1992-12-31,79.68
BISNNZR Index,NZD,1993-01-31,80.04
BISNNZR Index,NZD,1993-02-28,80.14
BISNNZR Index,NZD,1993-03-31,80.81
BISNNZR Index,NZD,1993-04-30,80.49
BISNNZR Index,NZD,1993-05-31,81.31
BISNNZR Index,NZD,1993-06-30,81.69
BISNNZR Index,NZD,1993-07-31,83.7
BISNNZR Index,NZD,1993-08-31,83.76
BISNNZR Index,NZD,1993-09-30,84.04
BISNNZR Index,NZD,1993-10-31,84.33
BISNNZR Index,NZD,1993-11-30,84.06
BISNNZR Index,NZD,1993-12-31,85.33
BISNNZR Index,NZD,1994-01-31,85.74
BISNNZR Index,NZD,1994-02-28,85.74
BISNNZR Index,NZD,1994-03-31,84.69
BISNNZR Index,NZD,1994-04-30,83.87
BISNNZR Index,NZD,1994-05-31,85.41
BISNNZR Index,NZD,1994-06-30,86.03
BISNNZR Index,NZD,1994-07-31,86.36
BISNNZR Index,NZD,1994-08-31,86.55
BISNNZR Index,NZD,1994-09-30,86.36
BISNNZR Index,NZD,1994-10-31,86.95
BISNNZR Index,NZD,1994-11-30,88.55
BISNNZR Index,NZD,1994-12-31,91.43
BISNNZR Index,NZD,1995-01-31,91.8
BISNNZR Index,NZD,1995-02-28,91.19
BISNNZR Index,NZD,1995-03-31,91.03
BISNNZR Index,NZD,1995-04-30,91.78
BISNNZR Index,NZD,1995-05-31,92.58
BISNNZR Index,NZD,1995-06-30,92.83
BISNNZR Index,NZD,1995-07-31,93.67
BISNNZR Index,NZD,1995-08-31,92.94
BISNNZR Index,NZD,1995-09-30,93.5
BISNNZR Index,NZD,1995-10-31,93.42
BISNNZR Index,NZD,1995-11-30,93.46
BISNNZR Index,NZD,1995-12-31,93.59
BISNNZR Index,NZD,1996-01-31,96.09
BISNNZR Index,NZD,1996-02-29,97.52
BISNNZR Index,NZD,1996-03-31,97.86
BISNNZR Index,NZD,1996-04-30,97.82
BISNNZR Index,NZD,1996-05-31,98.06
BISNNZR Index,NZD,1996-06-30,97.35
BISNNZR Index,NZD,1996-07-31,99.33
BISNNZR Index,NZD,1996-08-31,99.09
BISNNZR Index,NZD,1996-09-30,100.45
BISNNZR Index,NZD,1996-10-31,101.8
BISNNZR Index,NZD,1996-11-30,102.63
BISNNZR Index,NZD,1996-12-31,102.44
BISNNZR Index,NZD,1997-01-31,103.54
BISNNZR Index,NZD,1997-02-28,103.82
BISNNZR Index,NZD,1997-03-31,104.41
BISNNZR Index,NZD,1997-04-30,104.01
BISNNZR Index,NZD,1997-05-31,103.01
BISNNZR Index,NZD,1997-06-30,102.69
BISNNZR Index,NZD,1997-07-31,100.1
BISNNZR Index,NZD,1997-08-31,98.56
BISNNZR Index,NZD,1997-09-30,98.24
BISNNZR Index,NZD,1997-10-31,98.23
BISNNZR Index,NZD,1997-11-30,98.35
BISNNZR Index,NZD,1997-12-31,96.89
BISNNZR Index,NZD,1998-01-31,96.2
BISNNZR Index,NZD,1998-02-28,95.04
BISNNZR Index,NZD,1998-03-31,93.5
BISNNZR Index,NZD,1998-04-30,91.01
BISNNZR Index,NZD,1998-05-31,89.7
BISNNZR Index,NZD,1998-06-30,87.55
